Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5357352, 2.67189293675127, 374.266492388401, 638214, 1099760, 0
1.050663, 61.4962026094889, 16.2611666256112, 638294, 1099920, 0
1.566002, 63.985530738649, 15.6285332938751, 663664, 1113730, 0
2.074565, 66.0985423508784, 15.1289266284698, 663744, 1113890, 0
2.58486, 64.4753916772585, 15.5097932941749, 663824, 1114050, 0
3.092355, 65.1315875173141, 15.3535332945694, 663904, 1114210, 0
3.593466, 65.6154488512266, 15.2403132948552, 663984, 1114370, 0
4.107991, 64.5863267301708, 15.4831532942421, 664064, 1114530, 0
4.620347, 66.725355323638, 14.9868066288286, 664144, 1114690, 0
5.131722, 67.837849449722, 14.7410332961158, 664224, 1114850, 0
5.741037, 65.7073395098232, 15.2189999615757, 664224, 1114850, 0
6.250398, 63.9206633771673, 15.644393293835, 664224, 1114850, 0
6.761715, 58.517996624682, 17.088759956855, 664224, 1114850, 0
7.276034, 62.173511348531, 16.0840199593918, 664224, 1114850, 0
7.777864, 57.9827342879353, 17.2465132897901, 664224, 1114850, 0
8.278606, 57.7588191941028, 17.3133732896213, 664224, 1114850, 0
8.794208, 57.659220170579, 17.3432799562124, 664224, 1114850, 0
9.305543, 58.9309223514381, 16.9690199571573, 664224, 1114850, 0
9.80689, 57.5091410779743, 17.3885399560982, 664224, 1114850, 0
10.31966, 58.2155309722149, 17.1775466232975, 664224, 1114850, 0
10.8262, 59.4815351470443, 16.8119399575539, 664224, 1114850, 0
11.3367, 58.6432760792513, 17.0522532902805, 664224, 1114850, 0
11.85115, 56.7363654003488, 17.6253799555002, 664224, 1114850, 0
12.36977, 59.1438805009723, 16.9079199573116, 664224, 1114850, 0
12.87257, 59.6367406851387, 16.7681866243311, 664224, 1114850, 0
13.37956, 54.9434851311941, 18.2005199540481, 664224, 1114850, 0
13.88297, 59.8110687958876, 16.7193132911211, 664224, 1114850, 0
14.38456, 59.6361716440341, 16.7683466243307, 664224, 1114850, 0
14.90049, 59.3142560232638, 16.8593532907676, 664224, 1114850, 0
15.41703, 60.5476657462076, 16.5159132916347, 664224, 1114850, 0
15.92133, 60.8338372402851, 16.4382199584975, 664224, 1114850, 0
16.42962, 67.6808262475268, 14.7752332960295, 664224, 1114850, 0
16.92995, 60.7214436158891, 16.4686466250873, 664224, 1114850, 0
17.43199, 58.4762264901204, 17.1009666234909, 664224, 1114850, 0
17.94681, 58.7514379414436, 17.0208599570265, 664224, 1114850, 0
18.46058, 60.8645196369229, 16.4299332918517, 664224, 1114850, 0
18.96493, 60.0543131207864, 16.6515932912921, 664224, 1114850, 0
19.47688, 60.0093374529077, 16.6640732912606, 664224, 1114850, 0
19.98177, 60.9693888956858, 16.4016732919231, 664224, 1114850, 0
20.48398, 69.4506499886332, 14.3987132969801, 664224, 1114850, 0
20.99905, 59.3932386737094, 16.8369332908242, 664224, 1114850, 0
21.50603, 59.5252504128076, 16.7995932909184, 664224, 1114850, 0
22.01714, 59.900014895137, 16.6944866245171, 664224, 1114850, 0
22.53285, 60.0515242077703, 16.6523666246235, 664224, 1114850, 0
23.04928, 55.7318746939391, 17.9430532880315, 664224, 1114850, 0
23.55012, 58.7999172097166, 17.0068266237286, 664224, 1114850, 0
24.05486, 59.3341052041153, 16.8537132907818, 664224, 1114850, 0
24.56619, 63.173348932939, 15.8294599600345, 664224, 1114850, 0
25.07872, 60.4972877049346, 16.5296666249333, 664224, 1114850, 0
25.59252, 61.863527408842, 16.1646132925216, 664224, 1114850, 0
