Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5250153, 5.26892542689624, 189.792019520821, 134798, 86980, 0
1.034154, 44.9770931664503, 22.2335399438657, 134798, 86980, 0
1.54629, 44.785878713869, 22.3284666102927, 101114, 68852, 0
2.058219, 45.0248176795049, 22.2099732772585, 101094, 68812, 0
2.572596, 44.74164830022, 22.3505399435703, 101254, 68988, 0
3.08427, 44.7914420873529, 22.3256932769664, 101078, 68780, 0
3.596779, 44.9536797284078, 22.2451199438365, 101078, 68780, 0
4.108982, 44.9394440990765, 22.2521666104853, 101078, 68780, 0
4.614352, 89.4546664623125, 11.1788466384428, 101238, 68956, 0
5.118398, 88.5097263338268, 11.2981933048081, 101238, 68956, 0
5.627146, 90.5700296526277, 11.0411799721237, 101238, 68956, 0
6.138438, 89.9249845778651, 11.1203799719237, 101238, 68956, 0
6.647846, 90.5618274652288, 11.0421799721212, 101238, 68956, 0
7.148881, 90.1437973855895, 11.0933866386586, 101238, 68956, 0
7.65154, 89.0758029144415, 11.2263933049894, 101238, 68956, 0
8.152539, 89.4465050268936, 11.1798666384402, 101238, 68956, 0
8.653925, 89.5203855822048, 11.1706399717968, 101238, 68956, 0
9.154366, 89.7749879701516, 11.1389599718768, 101238, 68956, 0
9.655331, 89.263292196841, 11.2028133050489, 101238, 68956, 0
10.15598, 89.6732307471574, 11.1515999718449, 101238, 68956, 0
10.65883, 89.4163792923588, 11.1836333050974, 101238, 68956, 0
11.16042, 89.5932644978327, 11.1615533051531, 101238, 68956, 0
11.66081, 89.8670147915115, 11.127553305239, 101238, 68956, 0
12.16125, 90.160702436022, 11.0913066386638, 101018, 68516, 0
12.6619, 90.1677480785253, 11.0904399719993, 101018, 68516, 0
13.16322, 90.4095916138474, 11.0607733054076, 101066, 68612, 0
13.66505, 90.0386626017212, 11.1063399719592, 100858, 68340, 0
14.16662, 89.9359835668971, 11.1190199719272, 81898, 57735, 0
14.66698, 90.4297583837429, 11.0583066387471, 67808, 49107, 0
15.16841, 90.4766672738656, 11.0525733054283, 92218, 62066, 0
15.67058, 89.2523509069229, 11.2041866383788, 71636, 51658, 0
16.17215, 89.3652387094468, 11.1900333050812, 100858, 68340, 0
16.67366, 89.7408284873286, 11.1431999718661, 100858, 68340, 0
17.17577, 89.3726930673602, 11.1890999717502, 100858, 68340, 0
17.68584, 90.4510249910152, 11.0557066387537, 101066, 68612, 0
18.18638, 90.3186804320364, 11.0719066387128, 101066, 68612, 0
18.68723, 90.3661274017811, 11.0660933053941, 101066, 68612, 0
19.18864, 89.9550764348285, 11.1166599719331, 100906, 68436, 0
19.69023, 89.6433807028878, 11.1553133051689, 100906, 68436, 0
20.192, 89.3680073257935, 11.1896866384154, 72544, 52262, 0
20.69401, 89.2154571132376, 11.2088199717004, 72384, 52086, 0
21.19556, 89.2124857036992, 11.2091933050328, 8494, 16785, 0
21.69596, 89.6139788248142, 11.1589733051596, 67496, 48571, 0
22.19707, 89.6423092576003, 11.1554466385019, 72484, 52238, 0
22.69811, 89.8828466976143, 11.1255933052439, 98946, 66748, 0
23.201, 89.116975536202, 11.2212066383358, 100858, 68340, 0
23.70111, 89.9674857506497, 11.1151266386037, 101018, 68516, 0
24.20268, 90.1023743176998, 11.0984866386457, 100858, 68340, 0
24.71492, 89.5445406484457, 11.1676266384711, 100806, 68284, 0
25.21631, 89.4010842563499, 11.1855466384259, 100806, 68284, 0
25.71668, 89.5411731206949, 11.1680466384701, 100806, 68284, 0
26.21772, 89.7623631198764, 11.1405266385395, 50274, 41080, 0
26.71881, 89.9514082492637, 11.1171133052653, 50178, 40888, 0
27.22055, 89.684007368438, 11.1502599718483, 50226, 40984, 0
27.73163, 89.5706342078612, 11.164373305146, 100758, 68188, 0
28.23295, 89.1512444919389, 11.2168933050134, 101018, 68516, 0
