Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5352207, 37.0720678527586, 26.9744865985626, 13386, 19239, 0
1.036386, 35.8409150806863, 27.9010732628899, 8646, 15563, 0
1.541483, 35.4798483922425, 28.185013262173, 8486, 15387, 0
2.068044, 36.1146771010797, 27.6895732634239, 14686, 20260, 0
2.57104, 35.7856525299025, 27.9441599294478, 14686, 20260, 0
3.074471, 35.6394598198354, 28.058786595825, 14638, 20164, 0
3.600815, 35.9816292193858, 27.791959929832, 12134, 18314, 0
4.104078, 35.7457845592032, 27.9753265960358, 13434, 19335, 0
4.629655, 34.5851944010721, 28.9141065936656, 4590, 12748, 0
5.139534, 35.2240507940206, 28.3896932616562, 4590, 12748, 0
5.65042, 71.877532185561, 13.9125532982075, 4590, 12748, 0
6.15477, 71.3513760350706, 14.0151466312818, 4590, 12748, 0
6.660944, 65.4811951103882, 15.271559961443, 8538, 15443, 0
7.214044, 24.5626497400535, 40.7122198972115, 8538, 15443, 0
7.776438, 13.4474827388112, 74.3633598122506, 8538, 15443, 0
8.452728, 8.63536033833111, 115.802926374292, 10882, 17389, 0
9.070321, 7.02237492506541, 142.401966307136, 3874, 11220, 0
9.64433, 6.48405240826136, 154.22453961062, 3874, 11220, 0
10.2758, 6.47881752768928, 154.349152943639, 13374, 19215, 0
10.78423, 6.43389934061539, 155.426739607585, 14686, 20260, 0
11.30298, 6.30110220139927, 158.702392932648, 14686, 20260, 0
11.80912, 6.09177131652925, 164.155866252213, 14686, 20260, 0
12.33373, 5.91217441261365, 169.142506239623, 14638, 20164, 0
12.86117, 5.80198543167874, 172.354792898179, 14586, 20108, 0
13.37044, 5.80037274742041, 172.402712898058, 14686, 20260, 0
14.00635, 5.94073099031431, 168.329452908342, 11702, 17960, 0
14.52104, 5.92661920867069, 168.730259573997, 10934, 17445, 0
15.05225, 5.93118403040562, 168.600399574325, 10934, 17445, 0
15.58424, 5.88605584736876, 169.893052904395, 8538, 15443, 0
16.09349, 5.79653579698986, 172.51683289777, 8538, 15443, 0
16.70731, 5.92278208394746, 168.839572907054, 8538, 15443, 0
17.24559, 5.89834021885909, 169.539219571955, 8538, 15443, 0
17.89324, 6.0402254856442, 165.556732915343, 3874, 11220, 0
18.55464, 6.52873282257751, 153.169079613285, 3874, 11220, 0
19.10323, 6.78021783755077, 147.487886294296, 8538, 15443, 0
19.76283, 6.84935040989024, 145.999246298054, 12134, 18314, 0
20.26634, 6.69164464297711, 149.440092956033, 14686, 20260, 0
20.92944, 6.31648734580191, 158.315839600291, 14638, 20164, 0
21.44468, 6.02527167648726, 165.967619580972, 12182, 18410, 0
21.98067, 5.8724073859695, 170.287912903398, 12134, 18314, 0
22.61359, 5.97126555360419, 167.468686243849, 10882, 17389, 0
23.29463, 5.92434703624271, 168.794972907167, 10882, 17389, 0
23.93654, 6.02085890442284, 166.089259580665, 10934, 17445, 0
24.48169, 6.03302817472422, 165.754239581511, 10934, 17445, 0
