Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5255538, 45.4821655332511, 21.9866399444891, 300134, 344908, 0
1.033796, 78.9084125836824, 12.672919968004, 533418, 811524, 0
1.537893, 70.1515460465395, 14.2548532973433, 533638, 811964, 0
2.065982, 43.5097644613404, 22.9833466086393, 533590, 811868, 0
2.573776, 44.3785669273168, 22.5333999431086, 304392, 517218, 0
3.082079, 56.7649431820762, 17.6165066221893, 357740, 630040, 0
3.589448, 74.7036506179984, 13.3862266328697, 533638, 811964, 0
4.091846, 84.3840079928532, 11.8505866367468, 372250, 495504, 0
4.593132, 84.4900966341399, 11.8357066367844, 353042, 484676, 0
5.097049, 84.0391218920232, 11.8992199699574, 227508, 246428, 0
5.598971, 83.6884980202091, 11.9490733031648, 227456, 246372, 0
6.108849, 76.0144508538703, 13.1553933001192, 345564, 481009, 0
6.625251, 77.2475164923448, 12.945399967316, 514678, 800848, 0
7.134128, 48.8759190301975, 20.4599732816769, 514582, 800656, 0
7.648733, 44.8365483629429, 22.3032332770231, 505380, 795631, 0
8.163269, 45.7893628257532, 21.8391332781948, 527490, 807147, 0
8.67613, 44.8469776276367, 22.2980466103695, 527438, 807091, 0
