Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5206459, 90.5784521108704, 11.0401533054596, 77410, 53544, 0
1.022197, 90.2932906667437, 11.0750199720383, 60822, 44940, 0
1.524433, 89.6532392014168, 11.1540866385053, 361550, 547916, 0
2.027896, 90.6971892941038, 11.0256999721628, 412094, 575144, 0
2.529394, 89.8447303370315, 11.130313305232, 385464, 559929, 0
3.032698, 88.7482590549849, 11.2678266382181, 360346, 546623, 0
3.533643, 88.4041460365769, 11.3116866381074, 359100, 630301, 0
4.0343, 89.1807146110116, 11.2131866383561, 361100, 631463, 0
4.5447, 89.9841088063848, 11.1130733052755, 498018, 819177, 0
5.046007, 90.032447694149, 11.1071066386239, 498010, 819257, 0
5.550454, 88.2687843328792, 11.3290333047303, 264862, 352961, 0
6.054296, 89.0191866020189, 11.2335333049714, 264862, 352961, 0
6.556668, 89.3367106580483, 11.1936066384055, 264862, 352961, 0
7.058273, 88.8258291298977, 11.257986638243, 264862, 352961, 0
7.562922, 89.3712020962909, 11.1892866384164, 498198, 819633, 0
8.063154, 90.3523016947682, 11.0677866387232, 498246, 819729, 0
8.564523, 90.3018791821058, 11.0739666387076, 498246, 819729, 0
9.066066, 90.2942690227451, 11.0748999720386, 498246, 819729, 0
9.566098, 84.4864799102416, 11.8362133034498, 498058, 819353, 0
10.06816, 90.4818520549333, 11.0519399720965, 497886, 819009, 0
10.56881, 89.5560883811125, 11.1661866384748, 498058, 819353, 0
11.07029, 90.1061630813424, 11.0980199719802, 498246, 819729, 0
11.57624, 89.1012534764339, 11.2231866383308, 264862, 352961, 0
12.07932, 89.2448104142744, 11.2051333050431, 264862, 352961, 0
12.58426, 89.6461130043042, 11.1549733051697, 498198, 819633, 0
13.0848, 90.0288272304792, 11.1075533052895, 498198, 819633, 0
13.59148, 88.6489719378724, 11.2804466381863, 264862, 352961, 0
14.09175, 89.1164990286302, 11.2212666383357, 260970, 350330, 0
14.59276, 89.0724705496721, 11.2268133049884, 260970, 350330, 0
15.10151, 91.094260697199, 10.9776399722841, 498358, 819809, 0
15.6024, 89.7558103423825, 11.1413399718708, 498310, 819713, 0
16.11431, 89.5082061123364, 11.172159971793, 498518, 819985, 0
16.61614, 89.4061997835178, 11.1849066384275, 498518, 819985, 0
17.11701, 89.5799417372059, 11.1632133051489, 498518, 819985, 0
17.61875, 89.4659242187835, 11.1774399717797, 498470, 819889, 0
18.12094, 89.8183155113836, 11.1335866385571, 359308, 630573, 0
18.62132, 90.1279275804076, 11.095339971987, 359308, 630573, 0
19.12219, 90.5933866827721, 11.0383333054642, 498518, 819985, 0
19.62394, 89.62479475922, 11.1576266384964, 498518, 819985, 0
20.12581, 90.201474012354, 11.0862933053431, 359296, 630549, 0
20.6271, 90.1607566290696, 11.0912999719972, 359308, 630573, 0
21.12871, 90.0121876502078, 11.1096066386176, 498466, 819929, 0
21.62935, 90.7982070380717, 11.0134333055271, 491792, 900088, 0
22.1298, 89.5523991983269, 11.1666466384736, 493488, 901248, 0
22.64785, 48.9278122320183, 20.4382732817317, 498518, 819985, 0
23.1648, 44.3448623077244, 22.5505266097321, 498466, 819929, 0
23.6754, 44.7165196238446, 22.3630999435386, 493620, 901512, 0
24.17937, 89.8825774008835, 11.1256266385772, 493524, 901320, 0
24.67967, 89.6202431815425, 11.1581933051616, 493440, 901152, 0
25.17992, 89.9504373090427, 11.117233305265, 498518, 819985, 0
25.6811, 89.5405317155548, 11.1681266384699, 498518, 819985, 0
26.18208, 89.5496191454698, 11.1669933051394, 493704, 901680, 0
26.68358, 89.7377146077445, 11.1435866385318, 493704, 901680, 0
27.1849, 89.6545788386505, 11.1539199718391, 493800, 901872, 0
27.68693, 89.6065376929901, 11.159899971824, 493752, 901776, 0
28.18786, 90.0589886375576, 11.1038333052988, 493752, 901776, 0
28.68943, 90.2691102715415, 11.0779866386974, 498518, 819985, 0
29.19076, 89.6050924366133, 11.1600799718235, 498518, 819985, 0
29.69199, 89.223470293343, 11.2078133050363, 493704, 901680, 0
30.19369, 89.2451820988444, 11.2050866383765, 493752, 901776, 0
30.69516, 89.2618579915249, 11.2029933050485, 493752, 901776, 0
31.19728, 89.0068790449918, 11.2350866383008, 498518, 819985, 0
31.69766, 90.1349139391842, 11.0944799719891, 493752, 901776, 0
32.19933, 89.530323920712, 11.1693999718, 493704, 901680, 0
32.70114, 89.479693478362, 11.175719971784, 493752, 901776, 0
33.2123, 89.7695615355383, 11.1396333052085, 498566, 820081, 0
33.71361, 90.125490733297, 11.0956399719862, 505946, 908749, 0
34.21544, 89.354272414966, 11.1914066384111, 493656, 901584, 0
34.71667, 89.3392646663804, 11.1932866384063, 493608, 901488, 0
35.21791, 84.5165176264832, 11.8320066367937, 493608, 901488, 0
35.71859, 90.5726546663937, 11.0408599721245, 500694, 905024, 0
36.22886, 89.5883415704836, 11.1621666384849, 568566, 941682, 0
36.73132, 89.1490191230589, 11.2171733050127, 576844, 945976, 0
37.23277, 89.6702823717192, 11.1519666385107, 561272, 937778, 0
37.73418, 89.2075514787044, 11.2098133050313, 569578, 942080, 0
38.23544, 89.6193864656803, 11.158299971828, 569578, 942080, 0
38.73652, 90.0151585527003, 11.1092399719519, 559452, 936370, 0
39.23724, 89.868845407013, 11.1273266385729, 561100, 937434, 0
39.73944, 89.719143194145, 11.1458933051927, 561172, 937578, 0
40.24022, 89.7546825017861, 11.1414799718705, 561220, 937674, 0
40.74166, 89.7290183645391, 11.1446666385291, 569650, 942224, 0
41.25401, 89.6992384534655, 11.1483666385197, 569654, 942184, 0
41.75483, 89.4146736632655, 11.1838466384302, 569582, 942040, 0
42.25611, 89.4958163689041, 11.1737066384558, 572678, 944148, 0
42.75723, 89.6497563319623, 11.1545199718375, 572690, 944172, 0
43.2583, 89.6518460211614, 11.1542599718382, 572714, 944220, 0
43.76, 88.9485041530057, 11.2424599716155, 572762, 944316, 0
44.26033, 89.8720222403298, 11.1269333052405, 572762, 944316, 0
44.76979, 91.6677666798668, 10.9089599724575, 572666, 944124, 0
45.27366, 88.8883621430392, 11.250066638263, 605790, 962248, 0
45.77454, 89.6493276898085, 11.1545733051707, 605790, 962248, 0
46.27671, 89.067974897082, 11.2273799716536, 439556, 788231, 0
46.77863, 90.0699122659008, 11.1024866386356, 299738, 597891, 0
47.28716, 90.6785475714774, 11.0279666388237, 8830, 16075, 0
47.79166, 92.0574094554006, 10.8627866392408, 439140, 787687, 0
48.29186, 89.0568170618613, 11.2287866383167, 439508, 788135, 0
48.7929, 89.3858477175026, 11.1874533050877, 498518, 819985, 0
49.29588, 88.4821071482925, 11.3017199714659, 498518, 819985, 0
49.79733, 88.8844644177712, 11.2505599715951, 498150, 819537, 0
50.29852, 90.1803787936631, 11.0888866386699, 420226, 663689, 0
50.80124, 89.278008743293, 11.2009666383869, 420174, 663633, 0
51.30186, 89.8864015657013, 11.125153305245, 498098, 819481, 0
51.81299, 84.6981499100788, 11.8066333035244, 420174, 663633, 0
52.31431, 89.2734923195039, 11.2015333050522, 357548, 629608, 0
52.82051, 87.1331115117943, 11.4766933043575, 74974, 51910, 0
53.32328, 90.0186158497577, 11.1088133052863, 150700, 92572, 0
53.82466, 90.3778880254118, 11.0646533053978, 132260, 82496, 0
54.32587, 90.0289893345657, 11.1075333052895, 89614, 59312, 0
54.82691, 90.4420808913972, 11.0567999720843, 89566, 59216, 0
55.33008, 89.9129103550301, 11.1218733052533, 5090, 13364, 0
55.83533, 89.0672344801828, 11.2274733049867, 238474, 480132, 0
56.34203, 91.1222064209566, 10.974273305626, 5090, 13364, 0
56.84241, 90.9427121541903, 10.9959333055713, 89514, 59160, 0
57.34515, 89.8343992683887, 11.1315933052288, 5090, 13364, 0
57.84561, 79.9911689749452, 12.501379968437, 5038, 13308, 0
