Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5286104, 72.1918107534996, 13.8519866316938, 82670, 57604, 0
1.030595, 72.0041589602215, 13.8880866316026, 71472, 50772, 0
1.531799, 71.9349247896383, 13.9014532982355, 71436, 50700, 0
2.032201, 67.4677639024074, 14.8218932959117, 71584, 50852, 0
2.53348, 71.9504865531736, 13.8984466315765, 71492, 50764, 0
3.035752, 71.836775352515, 13.9204466315209, 82586, 57436, 0
3.537072, 71.2773615971831, 14.0296999645784, 99642, 66784, 0
4.203929, 12.6205100957771, 79.2360997999481, 99642, 66784, 0
4.718011, 72.614715517329, 13.7713132985641, 447394, 765446, 0
5.218017, 71.5826445492202, 13.9698666313961, 447394, 765446, 0
5.720358, 71.3274562679478, 14.01984663127, 447394, 765446, 0
6.221757, 71.9718906583845, 13.8943132982536, 447394, 765446, 0
6.723064, 71.7106675354812, 13.9449266314591, 447394, 765446, 0
7.224994, 71.7393394145974, 13.9393532981398, 447394, 765446, 0
7.726283, 71.5828153521278, 13.9698332980629, 447394, 765446, 0
8.227486, 71.9834956241233, 13.8920732982592, 449994, 767488, 0
8.729226, 71.9602203901683, 13.8965666315812, 399414, 740188, 0
9.230865, 72.3898744904356, 13.8140866317895, 362014, 719365, 0
9.733865, 67.0680315756293, 14.9102332956886, 362038, 719413, 0
10.23582, 71.5814489516897, 13.9700999647289, 363142, 720042, 0
10.74722, 73.0464814240363, 13.6899132987696, 445826, 764129, 0
11.24905, 71.846031081551, 13.9186532981921, 420584, 750575, 0
11.7517, 71.5641684887699, 13.9734732980537, 445874, 764225, 0
12.25486, 146.783963362723, 6.81273331613284, 423084, 752465, 0
12.75545, 146.752370050776, 6.8141999827958, 421832, 751540, 0
13.25698, 146.452624528667, 6.82814664942725, 421832, 751540, 0
