Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5240802, 89.6493812698536, 11.1545666385041, 213262, 430044, 0
1.028796, 89.7080362253011, 11.1472733051892, 169370, 286560, 0
1.532935, 88.1161300100629, 11.3486599713474, 476094, 819784, 0
2.036395, 89.5154706604093, 11.1712533051286, 350594, 568784, 0
2.537939, 91.0265979719274, 10.9857999722635, 406218, 687607, 0
3.038313, 90.1908438255348, 11.0875999720065, 381028, 674109, 0
3.539688, 90.9800001698293, 10.991426638916, 402430, 685088, 0
4.041014, 90.3981496101429, 11.062173305404, 318078, 639532, 0
4.542283, 89.7055147362239, 11.1475866385217, 407034, 688218, 0
5.042709, 90.5871496692965, 11.0390933054623, 476394, 820288, 0
5.544291, 90.5259193812372, 11.0465599721101, 472494, 817225, 0
6.045732, 90.7287331849414, 11.0218666388391, 388194, 771725, 0
6.546438, 90.1114137519629, 11.0973733053152, 388158, 771653, 0
7.04822, 89.6489526312864, 11.1546199718373, 388330, 771997, 0
7.552023, 89.0527459414211, 11.2292999716487, 472542, 817321, 0
8.062191, 90.3830070305928, 11.0640266387327, 476174, 820088, 0
8.563817, 89.5704737501784, 11.1643933051459, 476494, 820440, 0
9.072891, 86.997927709362, 11.4945266376458, 476494, 820440, 0
9.574506, 89.3780716263949, 11.1884266384186, 476494, 820440, 0
10.07671, 89.3045851950859, 11.197633305062, 476494, 820440, 0
10.57859, 89.5045208733493, 11.1726199717918, 476494, 820440, 0
11.07906, 84.7808246122125, 11.7951199702202, 476494, 820440, 0
11.58484, 87.5964071457645, 11.4159933045107, 476494, 820440, 0
12.1015, 15.1143750100133, 66.1621798329566, 476446, 820344, 0
12.60533, 89.795463892346, 11.1364199718832, 450046, 767544, 0
13.10682, 90.1036191620363, 11.0983333053127, 450042, 767584, 0
13.60811, 90.1764211503385, 11.0893733053354, 399466, 740244, 0
14.11006, 89.7833706832155, 11.1379199718795, 450094, 767640, 0
14.61265, 88.8730365724395, 11.2520066382581, 450094, 767640, 0
15.11397, 89.382971471339, 11.1878133050868, 450094, 767640, 0
15.61505, 89.5245530039069, 11.1701199717982, 450094, 767640, 0
16.11659, 89.356028970416, 11.1911866384116, 450094, 767640, 0
16.61872, 89.4695529146795, 11.1769866384475, 450094, 767640, 0
17.11932, 90.1849332240693, 11.0883266386713, 450094, 767640, 0
17.62017, 92.4421743385454, 10.8175733060216, 450094, 767640, 0
18.12132, 83.6185655513808, 11.9590666364729, 450094, 767640, 0
18.6409, 10.2634525638618, 97.4330997540051, 450094, 767640, 0
19.16088, 44.4406916749252, 22.5018999431882, 608822, 1085096, 0
19.71662, 12.2503591192776, 81.6302597939034, 608822, 1085096, 0
20.22868, 44.9125059471643, 22.2655132771183, 467702, 802856, 0
20.74887, 44.4529003739378, 22.4957199432038, 99742, 66936, 0
21.32812, 12.8994342050169, 77.5227798042738, 99742, 66936, 0
21.82847, 7.69583277837828, 129.940453005265, 450046, 767544, 0
22.63816, 11.4501963785014, 87.3347464461676, 450094, 767640, 0
23.13878, 84.1996069562347, 11.8765399700146, 608822, 1085096, 0
23.65654, 44.5337759001018, 22.4548666099736, 608822, 1085096, 0
24.21327, 12.9034278214076, 77.498786471001, 608822, 1085096, 0
24.71906, 90.3301567228219, 11.0704999720497, 467702, 802856, 0
25.22132, 89.3704033822527, 11.1893866384162, 467702, 802856, 0
25.72308, 89.7326147545544, 11.1442199718635, 467702, 802856, 0
26.22357, 90.2283860908732, 11.0829866386848, 99742, 66936, 0
26.73411, 89.0154886950329, 11.2339999716369, 99742, 66936, 0
27.23619, 89.3556563619738, 11.1912333050782, 99742, 66936, 0
27.73783, 89.3983135902124, 11.1858933050917, 99742, 66936, 0
28.24563, 14.6658187867965, 68.1857598278475, 476494, 820440, 0
28.74687, 90.0456351278828, 11.1054799719614, 476446, 820344, 0
29.2489, 15.6730034709433, 63.8039798389104, 399466, 740244, 0
29.75175, 89.1853807323903, 11.2125999716909, 450094, 767640, 0
30.25386, 89.3563483515541, 11.1911466384117, 399514, 740340, 0
30.76182, 11.2634446106595, 88.7827864425117, 558142, 1057644, 0
31.55778, 12.8645337155415, 77.7330931370761, 558242, 1057796, 0
32.06437, 45.7015275887935, 21.8811066114222, 417070, 775500, 0
32.58379, 44.0567321476981, 22.6980066093597, 222410, 312272, 0
33.09355, 45.4804003730606, 21.9874932778202, 417022, 775404, 0
33.60953, 44.7051116718788, 22.3688066101909, 256946, 509181, 0
34.12417, 44.6315796990582, 22.4056599434311, 250206, 503644, 0
34.63519, 45.2149473381508, 22.116579944161, 254102, 506283, 0
35.14816, 44.8696491821609, 22.2867799437313, 292254, 528052, 0
35.6618, 44.7883392662953, 22.3272399436291, 294334, 530028, 0
36.17213, 45.1645615966335, 22.141253277432, 417070, 775500, 0
36.68512, 44.8907852086658, 22.2762866104244, 417074, 775460, 0
37.19775, 44.9042775515434, 22.269593277108, 417074, 775460, 0
37.7104, 44.7968329236414, 22.3230066103065, 417070, 775500, 0
38.22348, 44.9707959651003, 22.2366532771912, 417070, 775500, 0
38.73555, 44.7565200552475, 22.3431132769224, 467702, 802856, 0
39.23981, 89.1338683742339, 11.2190799716745, 417122, 775556, 0
39.74056, 91.0307963252688, 10.9852933055981, 417122, 775556, 0
40.2408, 89.7852516351391, 11.1376866385467, 417122, 775556, 0
40.74182, 89.8174550044489, 11.1336933052235, 467702, 802856, 0
41.24279, 90.4843627940365, 11.0516333054306, 467702, 802856, 0
41.74377, 90.8057374697163, 11.0125199721961, 467702, 802856, 0
42.24656, 89.9071977904407, 11.1225799719182, 467702, 802856, 0
42.75796, 89.0743747275809, 11.226573304989, 467650, 802800, 0
43.25945, 89.4799603663429, 11.1756866384508, 467702, 802856, 0
43.77001, 89.4222961976447, 11.1828933050992, 467702, 802856, 0
44.27223, 88.8170983572389, 11.2590933049069, 467702, 802856, 0
44.77339, 89.3063397975247, 11.1974133050626, 417022, 775404, 0
45.27491, 88.839612517146, 11.2562399715807, 417194, 775748, 0
45.77523, 89.3352740925323, 11.1937866384051, 383426, 757452, 0
46.2765, 89.9573422283153, 11.1163799719338, 383514, 757580, 0
46.77916, 89.620136091164, 11.1582066384949, 382178, 756487, 0
47.28255, 89.5018505999309, 11.1729533051243, 135802, 265362, 0
47.78532, 89.976174309043, 11.114053305273, 135802, 265362, 0
48.29171, 87.8688294114546, 11.3805999712667, 382130, 756391, 0
48.79462, 88.8291430652569, 11.257566638244, 258382, 510474, 0
49.29597, 89.4929864346531, 11.1740599717882, 258382, 510474, 0
49.79979, 89.5012631611608, 11.1730266384575, 135854, 265418, 0
50.30225, 89.9797365633259, 11.1136133052742, 135854, 265418, 0
50.81179, 89.6410235570634, 11.1556066385015, 258382, 510474, 0
51.31262, 89.1936006564649, 11.2115666383602, 258370, 510450, 0
51.81359, 84.4734908106921, 11.8380333034452, 256910, 509109, 0
52.31495, 89.2569714157524, 11.2036066383803, 258150, 510010, 0
52.81854, 88.29938908596, 11.3251066380735, 256934, 509157, 0
53.32927, 89.5220952467348, 11.1704266384641, 256958, 509205, 0
53.83269, 88.8372974509618, 11.2565333049133, 294478, 530316, 0
54.33327, 87.8590506536713, 11.3818666379302, 171830, 284972, 0
54.83628, 88.9778403654498, 11.2387533049582, 171830, 284972, 0
55.34243, 89.8268139027954, 11.1325333052264, 467482, 802416, 0
55.84302, 90.0043562108406, 11.1105733052818, 467654, 802760, 0
56.34712, 90.2279518976743, 11.083039972018, 171830, 284972, 0
56.84962, 89.5011029519254, 11.1730466384574, 171830, 284972, 0
57.35345, 88.9073289274813, 11.247666638269, 171830, 284972, 0
57.85492, 89.3196876669162, 11.1957399717335, 171830, 284972, 0
58.35612, 89.4426648666827, 11.180346638439, 467482, 802416, 0
58.86193, 89.7783731081452, 11.1385399718779, 467702, 802856, 0
59.36264, 90.3124811848998, 11.0726666387109, 467702, 802856, 0
59.86444, 90.0581235129152, 11.1039399719652, 417022, 775404, 0
60.36557, 90.2227419052156, 11.0836799720164, 294478, 530316, 0
60.8674, 89.949250632793, 11.1173799719313, 258134, 510026, 0
61.36958, 89.5499399119903, 11.1669533051395, 256966, 509269, 0
61.87551, 88.6103766295448, 11.2853599715072, 134438, 264213, 0
62.377, 89.3222407020014, 11.1954199717343, 135582, 264922, 0
62.87806, 89.4936805529039, 11.1739733051218, 135666, 265090, 0
63.37933, 89.7925612250579, 11.1367799718823, 136934, 265999, 0
63.88124, 89.7006867484578, 11.1481866385202, 135654, 265066, 0
64.38262, 89.6619743566753, 11.1529999718414, 135334, 264714, 0
64.88285, 90.0964211899575, 11.0992199719772, 135302, 264602, 0
65.38371, 90.2421738978723, 11.0812933053558, 135286, 264618, 0
65.88468, 91.1723857078168, 10.9682333056412, 135298, 264642, 0
66.386, 90.2310456154028, 11.082659972019, 135470, 264986, 0
66.88766, 89.977793480569, 11.1138533052736, 136130, 265237, 0
67.39308, 89.1331268613968, 11.2191733050076, 399942, 766104, 0
67.89378, 89.6364167663125, 11.1561799718334, 408320, 770598, 0
68.3949, 84.4890972452611, 11.835846636784, 416702, 775052, 0
68.89711, 89.1295783636166, 11.2196199716732, 416702, 775052, 0
69.39789, 89.4877008104006, 11.1747199717865, 416702, 775052, 0
69.89974, 89.7632762877739, 11.1404133052065, 416802, 775204, 0
70.40365, 89.7384125274824, 11.1434999718654, 135350, 264698, 0
70.90636, 90.8046380587663, 11.0126533055291, 135190, 264426, 0
