Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5214311, 147.178008858154, 6.79449331617889, 507294, 836246, 0
1.022742, 147.187396048902, 6.79405998284665, 389274, 772546, 0
1.523169, 144.919135122602, 6.90039998257816, 389274, 772546, 0
2.034547, 198.192222672926, 5.04560665392773, 66466, 136500, 0
2.544551, 90.2117811774923, 11.0850266386797, 66466, 136500, 0
3.045066, 45.2992103441653, 22.0754399442649, 66514, 136596, 0
3.556892, 45.1249283641762, 22.1606999440496, 66466, 136500, 0
4.061886, 148.665430431021, 6.72651331635052, 390474, 773415, 0
4.564966, 135.734199860465, 7.36733998139925, 389222, 772490, 0
